Date,Open,High,Low,Close,Volume
2021-08-27,270.92,272.65,270.15,271.30,14827
2021-08-30,270.34,276.12,270.34,273.42,32172
2021-08-31,274.96,276.31,270.54,272.46,69846
2021-09-01,274.00,276.12,270.15,276.12,40398
2021-09-02,279.19,284.20,277.27,284.00,58596
2021-09-03,284.00,284.39,276.50,277.85,42926
2021-09-06,278.23,281.50,276.50,277.46,26548
2021-09-07,277.27,277.85,274.96,276.50,18821
2021-09-08,270.73,272.27,266.30,268.03,64720
2021-09-09,265.53,272.27,264.76,268.23,55376
2021-09-10,268.80,271.69,268.23,269.77,43182
2021-09-13,270.54,274.58,269.96,273.04,28725
2021-09-14,272.46,273.23,268.23,270.54,41404
2021-09-15,269.19,273.23,267.46,270.34,51615
2021-09-16,270.34,270.92,265.92,267.65,32404
2021-09-17,269.38,270.73,258.41,258.41,127775
2021-09-20,254.95,258.80,246.87,250.72,89526
2021-09-21,251.68,258.41,251.10,254.56,53807
2021-09-22,257.07,259.57,255.14,256.30,29777
2021-09-23,259.37,261.68,257.07,258.99,34956
2021-09-24,258.41,258.99,254.56,256.87,45431
2021-09-27,258.80,264.19,258.61,263.22,46764
2021-09-28,264.19,268.23,259.18,259.18,41117
2021-09-29,261.68,267.46,260.14,265.34,38907
2021-09-30,264.19,264.57,257.07,257.84,59864
2021-10-01,258.03,259.76,252.06,257.26,38038
2021-10-04,255.53,258.22,253.79,255.33,30218
2021-10-05,254.76,257.64,253.41,256.68,38077
2021-10-06,255.14,255.53,244.75,246.10,94794
2021-10-07,250.14,259.76,249.18,258.99,55838
2021-10-08,259.37,260.72,255.72,258.80,29173
2021-10-11,258.99,261.11,256.30,258.22,34486
2021-10-12,254.37,257.26,253.99,255.33,24993
2021-10-13,255.33,264.38,254.37,258.99,41068
2021-10-14,263.61,264.76,261.30,264.76,33047
2021-10-15,265.15,266.11,261.30,264.38,35353
2021-10-18,263.80,263.80,256.10,257.64,36431
2021-10-19,260.14,260.14,254.76,256.10,32324
2021-10-20,255.91,260.91,252.83,260.14,66950
2021-10-21,257.26,266.30,255.91,264.19,51933
2021-10-22,264.57,269.19,264.38,267.65,35100
2021-10-25,267.65,275.92,265.34,273.04,54943
2021-10-26,274.58,284.77,274.58,284.58,78023
2021-10-27,282.85,283.04,275.92,277.46,44088
2021-10-28,275.54,275.54,259.95,267.07,78893
